set_name,record_id,split,weight,scale_factor,notes
peer_expansion_30k,RSN5263_CHUETSU_NIG017NS,all,1.0,1.0,PEER result_id=47; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5265_CHUETSU_NIG019EW,all,1.0,1.0,PEER result_id=48; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5265_CHUETSU_NIG019NS,all,1.0,1.0,PEER result_id=48; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5266_CHUETSU_NIG020EW,all,1.0,1.0,PEER result_id=49; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5266_CHUETSU_NIG020NS,all,1.0,1.0,PEER result_id=49; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5274_CHUETSU_NIG028EW,all,1.0,1.0,PEER result_id=50; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5274_CHUETSU_NIG028NS,all,1.0,1.0,PEER result_id=50; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5495_IWATE_AKTH19EW,all,1.0,1.0,PEER result_id=52; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5495_IWATE_AKTH19NS,all,1.0,1.0,PEER result_id=52; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5620_IWATE_IWT012EW,all,1.0,1.0,PEER result_id=53; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5620_IWATE_IWT012NS,all,1.0,1.0,PEER result_id=53; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5622_IWATE_IWT014EW,all,1.0,1.0,PEER result_id=54; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5622_IWATE_IWT014NS,all,1.0,1.0,PEER result_id=54; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5632_IWATE_IWT025EW,all,1.0,1.0,PEER result_id=55; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5632_IWATE_IWT025NS,all,1.0,1.0,PEER result_id=55; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5637_IWATE_IWTH05EW,all,1.0,1.0,PEER result_id=56; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5637_IWATE_IWTH05NS,all,1.0,1.0,PEER result_id=56; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5652_IWATE_IWTH20EW,all,1.0,1.0,PEER result_id=57; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5652_IWATE_IWTH20NS,all,1.0,1.0,PEER result_id=57; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5664_IWATE_MYG005EW,all,1.0,1.0,PEER result_id=58; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5664_IWATE_MYG005NS,all,1.0,1.0,PEER result_id=58; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5745_IWATE_YMT002EW,all,1.0,1.0,PEER result_id=59; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5745_IWATE_YMT002NS,all,1.0,1.0,PEER result_id=59; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5760_IWATE_YMT017EW,all,1.0,1.0,PEER result_id=60; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5760_IWATE_YMT017NS,all,1.0,1.0,PEER result_id=60; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5836_SIERRA.MEX_EMO270,all,1.0,1.0,PEER result_id=71; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5836_SIERRA.MEX_EMO360,all,1.0,1.0,PEER result_id=71; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6886_DARFIELD_CACSN40E,all,1.0,1.0,PEER result_id=72; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6886_DARFIELD_CACSN50W,all,1.0,1.0,PEER result_id=72; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6893_DARFIELD_DFHSS17E,all,1.0,1.0,PEER result_id=73; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6893_DARFIELD_DFHSS73W,all,1.0,1.0,PEER result_id=73; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6952_DARFIELD_PPHSS33W,all,1.0,1.0,PEER result_id=77; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6952_DARFIELD_PPHSS57E,all,1.0,1.0,PEER result_id=77; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6960_DARFIELD_RHSCN86W,all,1.0,1.0,PEER result_id=78; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6960_DARFIELD_RHSCS04W,all,1.0,1.0,PEER result_id=78; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6971_DARFIELD_SPFSN17E,all,1.0,1.0,PEER result_id=81; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN6971_DARFIELD_SPFSN73W,all,1.0,1.0,PEER result_id=81; expansion_npts_max=30000; allow_npts_policy_excluded=true
